feature,importance
Close_lag_1,0.5340518082382371
Close_lag_21,0.11146798272556167
Open_lag_1,0.10595727787820909
Close_lag_22,0.013159415013192368
Open_lag_11,0.006369876102608632
Volume_lag_30,0.006075861211994249
Open_lag_12,0.0055159688763370355
Open_lag_14,0.004726498123714118
Volume_lag_10,0.004722742038486643
Open_lag_20,0.004721179731038124
Volume_lag_22,0.004602160334288924
Volume_lag_29,0.004585921919964493
Close_lag_11,0.004460039875288741
Open_lag_15,0.0044483964227919484
Volume_lag_24,0.004112094056713113
Open_lag_19,0.0040945723517343355
Low_lag_4,0.003861850582897715
Volume_lag_28,0.0037395461782160203
Volume_lag_25,0.0037220198944613596
Low_lag_30,0.0036372026234803667
Low_lag_8,0.0035825717237148893
Low_lag_5,0.0035760053818011737
Open_lag_16,0.003440482047361021
Low_lag_3,0.0033666361987932246
Low_lag_7,0.0032562435583400368
Open_lag_18,0.0032293740957163265
Low_lag_9,0.003148138954606
Volume_lag_23,0.003137999416628552
Low_lag_6,0.003053775270976576
Volume_lag_26,0.0029993964598743045
Open_lag_13,0.0029930691457898465
Low_lag_10,0.0028827082714653098
High_lag_28,0.002855950129183084
Volume_lag_27,0.0028073654676023137
Open_lag_17,0.0026828190423409306
Close_lag_19,0.0026698487906881723
Volume_lag_21,0.002590707024897508
Low_lag_2,0.002559631135543549
Open_lag_10,0.002501775907171273
Low_lag_1,0.0024809345672826355
Open_lag_8,0.002314879400798028
Volume_lag_20,0.0022502685460271277
Close_lag_26,0.0021874670670066422
High_lag_8,0.0021604969910795284
Open_lag_2,0.0021427168582782226
Close_lag_9,0.0020216454497932928
Close_lag_2,0.0019469941626814556
Close_lag_30,0.0017926786617968966
Close_lag_6,0.0017745060003280055
High_lag_1,0.0017121263494460888
Low_lag_19,0.0017097850441776716
Open_lag_3,0.0017048779560870893
Open_lag_27,0.0016595222731867183
Close_lag_4,0.0016322228759966786
High_lag_6,0.0016289298619820481
Close_lag_3,0.0015996149115359147
Volume_lag_17,0.0015465279293401303
Low_lag_16,0.0015190190772879403
Volume_lag_6,0.0014714802589692632
High_lag_3,0.0014712248191371376
Volume_lag_4,0.001413152420956486
Close_lag_20,0.0013819958381761986
Open_lag_22,0.0013075458973873756
Close_lag_17,0.0012857035731343935
High_lag_23,0.0012653447625409979
Close_lag_29,0.0012532634045603042
Close_lag_5,0.00123117320759723
Low_lag_29,0.001218065965703808
High_lag_4,0.001213123576581173
High_lag_21,0.0012084505222780093
Volume_lag_8,0.0011423138421139442
Volume_lag_9,0.0011346934327334387
Close_lag_8,0.0011323340393055287
High_lag_25,0.001127653933528309
Open_lag_28,0.0011169837808278514
Open_lag_21,0.001061383237410665
Volume_lag_5,0.0010464162666104146
Low_lag_15,0.001033642623422163
Open_lag_25,0.0010243515667566559
Close_lag_7,0.0010001635148700306
Low_lag_25,0.0009939923875906833
Close_lag_10,0.0009931471410909126
Open_lag_7,0.0009888792582598992
High_lag_7,0.0009774056118435276
Low_lag_28,0.0009432254314939463
High_lag_13,0.0009212371124103345
High_lag_14,0.0009204159791062836
Low_lag_22,0.0008920305366317133
High_lag_24,0.0008787371411523225
High_lag_30,0.0008684403127578842
High_lag_17,0.0008570578333868969
Close_lag_24,0.0008523196936998642
Open_lag_6,0.0008391957551436479
High_lag_10,0.0008223857559278728
Close_lag_23,0.0008142845858367158
High_lag_29,0.000807509058201111
Low_lag_20,0.0008044438928608736
Volume_lag_19,0.0007967124231860132
Low_lag_21,0.0007910983481567334
Open_lag_4,0.0007841844561221145
Open_lag_9,0.0007672182867736619
Volume_lag_1,0.0007542196756178625
High_lag_27,0.0007539142676601037
Low_lag_23,0.0007496513338535298
Close_lag_18,0.0007404973520710726
High_lag_12,0.0007316351621034481
Volume_lag_18,0.0007199274323837046
High_lag_22,0.0007191202518665675
Low_lag_26,0.0007173529445268975
High_lag_20,0.00070260747909153
Volume_lag_3,0.0006828873187019673
Volume_lag_14,0.0006542499567415643
Volume_lag_11,0.0006529631494447559
Open_lag_23,0.0006086838722098968
Low_lag_14,0.0005923290684500461
Volume_lag_16,0.0005881755436716109
Low_lag_11,0.000572049195891764
High_lag_19,0.0005605341531704883
Low_lag_27,0.0005553899967445954
Low_lag_24,0.0005486417144275382
Open_lag_24,0.0005370374734122613
High_lag_11,0.0005349889073474368
Low_lag_17,0.00051787983107712
Open_lag_29,0.0005172445579561509
Close_lag_27,0.0005148228165753357
Low_lag_13,0.0005084224392930169
High_lag_5,0.000500714596769718
Close_lag_12,0.0004761599670381573
Open_lag_26,0.0004658028917292841
Open_lag_5,0.00044539438540536365
Volume_lag_12,0.0004418915841317176
Open_lag_30,0.00043766355150766763
Close_lag_14,0.000437274037725981
Low_lag_12,0.00042718870091031265
High_lag_26,0.0004196083166175373
Volume_lag_7,0.0003820312858106947
Volume_lag_15,0.00036064593385964395
High_lag_18,0.000359368594182098
Close_lag_25,0.00035748076150249336
High_lag_15,0.0003536904346691117
Low_lag_18,0.00035176256651481004
High_lag_9,0.00033795751778287176
High_lag_2,0.0003082473439270964
Close_lag_15,0.00024692099291858207
Close_lag_16,0.000234700543770638
Close_lag_13,0.00020423886694483017
Volume_lag_2,0.00019760599752966228
Volume_lag_13,0.0001745001469300907
Close_lag_28,0.00017001855131678725
High_lag_16,0.0001673988641576139
